Date,Visitor/Neutral,PTS,Home/Neutral,PTS.1,Result
18-10-2022,Philadelphia 76ers,117,Boston Celtics,126,Boston Celtics
18-10-2022,Los Angeles Lakers,109,Golden State Warriors,123,Golden State Warriors
19-10-2022,Orlando Magic,109,Detroit Pistons,113,Detroit Pistons
19-10-2022,Washington Wizards,114,Indiana Pacers,107,Washington Wizards
19-10-2022,Houston Rockets,107,Atlanta Hawks,117,Atlanta Hawks
19-10-2022,New Orleans Pelicans,130,Brooklyn Nets,108,New Orleans Pelicans
19-10-2022,Chicago Bulls,116,Miami Heat,108,Chicago Bulls
19-10-2022,Cleveland Cavaliers,105,Toronto Raptors,108,Toronto Raptors
19-10-2022,New York Knicks,112,Memphis Grizzlies,115,Memphis Grizzlies
19-10-2022,Oklahoma City Thunder,108,Minnesota Timberwolves,115,Minnesota Timberwolves
19-10-2022,Charlotte Hornets,129,San Antonio Spurs,102,Charlotte Hornets
19-10-2022,Denver Nuggets,102,Utah Jazz,123,Utah Jazz
19-10-2022,Dallas Mavericks,105,Phoenix Suns,107,Phoenix Suns
19-10-2022,Portland Trail Blazers,115,Sacramento Kings,108,Portland Trail Blazers
20-10-2022,Milwaukee Bucks,90,Philadelphia 76ers,88,Milwaukee Bucks
20-10-2022,Los Angeles Clippers,103,Los Angeles Lakers,97,Los Angeles Clippers
21-10-2022,New Orleans Pelicans,124,Charlotte Hornets,112,New Orleans Pelicans
21-10-2022,San Antonio Spurs,137,Indiana Pacers,134,San Antonio Spurs
21-10-2022,Chicago Bulls,100,Washington Wizards,102,Washington Wizards
21-10-2022,Orlando Magic,98,Atlanta Hawks,108,Atlanta Hawks
21-10-2022,Toronto Raptors,105,Brooklyn Nets,109,Brooklyn Nets
21-10-2022,Boston Celtics,111,Miami Heat,104,Boston Celtics
21-10-2022,Detroit Pistons,106,New York Knicks,130,New York Knicks
21-10-2022,Memphis Grizzlies,129,Houston Rockets,122,Memphis Grizzlies
21-10-2022,Utah Jazz,132,Minnesota Timberwolves,126,Utah Jazz
21-10-2022,Denver Nuggets,128,Golden State Warriors,123,Denver Nuggets
21-10-2022,Phoenix Suns,111,Portland Trail Blazers,113,Portland Trail Blazers
22-10-2022,San Antonio Spurs,114,Philadelphia 76ers,105,San Antonio Spurs
22-10-2022,Detroit Pistons,115,Indiana Pacers,124,Indiana Pacers
22-10-2022,Boston Celtics,126,Orlando Magic,120,Boston Celtics
22-10-2022,Toronto Raptors,109,Miami Heat,112,Miami Heat
22-10-2022,Cleveland Cavaliers,128,Chicago Bulls,96,Cleveland Cavaliers
22-10-2022,Houston Rockets,105,Milwaukee Bucks,125,Milwaukee Bucks
22-10-2022,Memphis Grizzlies,96,Dallas Mavericks,137,Dallas Mavericks
22-10-2022,Oklahoma City Thunder,117,Denver Nuggets,122,Denver Nuggets
22-10-2022,Los Angeles Clippers,111,Sacramento Kings,109,Los Angeles Clippers
23-10-2022,Portland Trail Blazers,106,Los Angeles Lakers,104,Portland Trail Blazers
23-10-2022,Charlotte Hornets,126,Atlanta Hawks,109,Charlotte Hornets
23-10-2022,Washington Wizards,107,Cleveland Cavaliers,117,Cleveland Cavaliers
23-10-2022,Utah Jazz,122,New Orleans Pelicans,121,Utah Jazz
23-10-2022,Minnesota Timberwolves,116,Oklahoma City Thunder,106,Minnesota Timberwolves
23-10-2022,Sacramento Kings,125,Golden State Warriors,130,Golden State Warriors
23-10-2022,Phoenix Suns,112,Los Angeles Clippers,95,Phoenix Suns
24-10-2022,Indiana Pacers,106,Philadelphia 76ers,120,Philadelphia 76ers
24-10-2022,Toronto Raptors,98,Miami Heat,90,Toronto Raptors
24-10-2022,Orlando Magic,102,New York Knicks,115,New York Knicks
24-10-2022,Boston Celtics,102,Chicago Bulls,120,Chicago Bulls
24-10-2022,Utah Jazz,108,Houston Rockets,114,Houston Rockets
24-10-2022,Brooklyn Nets,124,Memphis Grizzlies,134,Memphis Grizzlies
24-10-2022,San Antonio Spurs,115,Minnesota Timberwolves,106,San Antonio Spurs
24-10-2022,Denver Nuggets,110,Portland Trail Blazers,135,Portland Trail Blazers
25-10-2022,Detroit Pistons,99,Washington Wizards,120,Washington Wizards
25-10-2022,Dallas Mavericks,111,New Orleans Pelicans,113,New Orleans Pelicans
25-10-2022,Los Angeles Clippers,94,Oklahoma City Thunder,108,Oklahoma City Thunder
25-10-2022,Golden State Warriors,105,Phoenix Suns,134,Phoenix Suns
26-10-2022,Orlando Magic,92,Cleveland Cavaliers,103,Cleveland Cavaliers
26-10-2022,Atlanta Hawks,118,Detroit Pistons,113,Atlanta Hawks
26-10-2022,Charlotte Hornets,131,New York Knicks,134,New York Knicks
26-10-2022,Philadelphia 76ers,109,Toronto Raptors,119,Toronto Raptors
26-10-2022,Brooklyn Nets,99,Milwaukee Bucks,110,Milwaukee Bucks
26-10-2022,Indiana Pacers,109,Chicago Bulls,124,Chicago Bulls
26-10-2022,San Antonio Spurs,122,Minnesota Timberwolves,134,Minnesota Timberwolves
26-10-2022,Houston Rockets,101,Utah Jazz,109,Utah Jazz
26-10-2022,Los Angeles Lakers,99,Denver Nuggets,110,Denver Nuggets
26-10-2022,Miami Heat,119,Portland Trail Blazers,98,Miami Heat
27-10-2022,Dallas Mavericks,129,Brooklyn Nets,125,Dallas Mavericks
27-10-2022,Los Angeles Clippers,110,Oklahoma City Thunder,118,Oklahoma City Thunder
27-10-2022,Miami Heat,110,Golden State Warriors,123,Golden State Warriors
27-10-2022,Memphis Grizzlies,125,Sacramento Kings,110,Memphis Grizzlies
28-10-2022,Atlanta Hawks,136,Detroit Pistons,112,Atlanta Hawks
28-10-2022,Charlotte Hornets,93,Orlando Magic,113,Orlando Magic
28-10-2022,Cleveland Cavaliers,132,Boston Celtics,123,Cleveland Cavaliers
28-10-2022,Philadelphia 76ers,112,Toronto Raptors,90,Philadelphia 76ers
28-10-2022,Indiana Pacers,127,Washington Wizards,117,Indiana Pacers
28-10-2022,New York Knicks,108,Milwaukee Bucks,119,Milwaukee Bucks
28-10-2022,Los Angeles Lakers,102,Minnesota Timberwolves,111,Minnesota Timberwolves
28-10-2022,Chicago Bulls,124,San Antonio Spurs,129,San Antonio Spurs
28-10-2022,Utah Jazz,101,Denver Nuggets,117,Denver Nuggets
28-10-2022,New Orleans Pelicans,111,Phoenix Suns,124,Phoenix Suns
28-10-2022,Houston Rockets,111,Portland Trail Blazers,125,Portland Trail Blazers
29-10-2022,Miami Heat,113,Sacramento Kings,119,Sacramento Kings
29-10-2022,Golden State Warriors,113,Charlotte Hornets,120,Charlotte Hornets
29-10-2022,Indiana Pacers,125,Brooklyn Nets,116,Indiana Pacers
29-10-2022,Philadelphia 76ers,114,Chicago Bulls,109,Philadelphia 76ers
29-10-2022,Atlanta Hawks,115,Milwaukee Bucks,123,Milwaukee Bucks
29-10-2022,Oklahoma City Thunder,117,Dallas Mavericks,111,Oklahoma City Thunder
