GP,W,L,WIN%,MIN,eFG%,FTARate,TOV%,OREB%,OppeFG%,OppFTARate,OppTOV%,OppOREB%,Off_4fac,Def_4fac,Total_4fac
49.0,25.0,24.0,0.51,2377.0,0.536,0.238,0.127,0.268,0.539,0.264,0.144,0.295,0.620353809,0.380505049,0.9176445387981826
50.0,35.0,15.0,0.7,2430.0,0.56,0.253,0.134,0.255,0.532,0.229,0.128,0.255,0.628124428,0.38370101,0.9276993254105557
48.0,29.0,19.0,0.604,2309.0,0.582,0.249,0.148,0.226,0.521,0.286,0.141,0.31,0.6294607759999999,0.384492316,0.9296500800628685
50.0,14.0,36.0,0.28,2430.0,0.51,0.256,0.133,0.29,0.554,0.278,0.147,0.285,0.609719581,0.37499560499999995,0.9028430986864849
48.0,22.0,26.0,0.458,2329.0,0.547,0.256,0.134,0.235,0.548,0.264,0.148,0.267,0.620521777,0.38076978,0.9180412619436289
50.0,30.0,20.0,0.6,2435.0,0.551,0.281,0.144,0.279,0.538,0.262,0.154,0.265,0.624426793,0.38790686399999996,0.9281652896033445
50.0,26.0,24.0,0.52,2435.0,0.559,0.318,0.126,0.231,0.545,0.296,0.139,0.283,0.632700041,0.37494694599999995,0.9238682829912
49.0,34.0,15.0,0.694,2362.0,0.578,0.265,0.151,0.289,0.545,0.276,0.14,0.27,0.633760353,0.3779331389999999,0.9275783497851231
50.0,13.0,37.0,0.26,2415.0,0.522,0.31,0.146,0.292,0.564,0.286,0.138,0.291,0.6138347479999999,0.365908126,0.898284199181795
48.0,24.0,24.0,0.5,2324.0,0.563,0.227,0.161,0.268,0.541,0.294,0.144,0.28,0.6185864640000001,0.379103463,0.9147390819470647
49.0,11.0,38.0,0.224,2362.0,0.513,0.285,0.17,0.34,0.556,0.271,0.135,0.274,0.603583349,0.370999557,0.8935532459432582
50.0,24.0,26.0,0.48,2405.0,0.534,0.267,0.15,0.294,0.544,0.288,0.154,0.308,0.615029658,0.37926764199999996,0.9116285278326209
51.0,27.0,24.0,0.529,2458.0,0.544,0.274,0.148,0.28,0.533,0.259,0.131,0.269,0.6193747360000001,0.381055388,0.9172514509910935
49.0,23.0,26.0,0.469,2377.0,0.542,0.285,0.137,0.256,0.539,0.235,0.125,0.28,0.6210981270000001,0.376543588,0.9146948784331017
48.0,31.0,17.0,0.646,2314.0,0.531,0.274,0.14,0.33,0.519,0.264,0.148,0.285,0.6215571870000001,0.392010169,0.9292964152768816
49.0,27.0,22.0,0.551,2367.0,0.521,0.255,0.139,0.275,0.553,0.251,0.169,0.266,0.610791488,0.38760831399999995,0.9153899358729429
48.0,31.0,17.0,0.646,2324.0,0.538,0.253,0.153,0.297,0.519,0.229,0.123,0.262,0.6150346790000001,0.386910362,0.9186404133814153
50.0,25.0,25.0,0.5,2405.0,0.559,0.277,0.154,0.258,0.542,0.292,0.158,0.31,0.6218165870000001,0.381251872,0.9196704271383477
49.0,26.0,23.0,0.531,2382.0,0.541,0.29,0.151,0.302,0.543,0.265,0.153,0.266,0.62008875,0.38498016,0.9215045548183998
50.0,27.0,23.0,0.54,2435.0,0.524,0.285,0.132,0.326,0.525,0.269,0.131,0.292,0.621844358,0.38172160399999994,0.9201265662905732
48.0,23.0,25.0,0.479,2334.0,0.533,0.244,0.133,0.285,0.536,0.294,0.163,0.312,0.618755008,0.38554973099999995,0.9208039192200307
48.0,19.0,29.0,0.396,2314.0,0.538,0.297,0.153,0.275,0.548,0.266,0.142,0.281,0.6157742310000001,0.376938674,0.9101758640454868
47.0,31.0,16.0,0.66,2281.0,0.558,0.286,0.141,0.251,0.538,0.281,0.155,0.288,0.626303221,0.38477656699999996,0.9270156709223273
50.0,25.0,25.0,0.5,2415.0,0.534,0.236,0.144,0.311,0.535,0.297,0.15,0.287,0.616977754,0.383230261,0.9170478087799677
48.0,23.0,25.0,0.479,2314.0,0.556,0.299,0.154,0.287,0.545,0.278,0.138,0.284,0.624776184,0.37564973299999993,0.9172475937733208
47.0,27.0,20.0,0.574,2261.0,0.573,0.283,0.141,0.263,0.552,0.255,0.138,0.266,0.63401605,0.3757982879999999,0.9258554341193652
49.0,14.0,35.0,0.286,2357.0,0.53,0.236,0.151,0.307,0.581,0.254,0.14,0.299,0.612081003,0.360379559,0.8916073598020866
49.0,22.0,27.0,0.449,2372.0,0.512,0.28,0.12,0.313,0.564,0.283,0.17,0.286,0.619494204,0.378979724,0.9154578988215037
51.0,25.0,26.0,0.49,2463.0,0.555,0.266,0.15,0.307,0.545,0.269,0.136,0.296,0.6256649329999999,0.3742891849999999,0.9168150215157044
48.0,22.0,26.0,0.458,2314.0,0.542,0.268,0.138,0.269,0.528,0.252,0.124,0.275,0.620868248,0.38046194399999994,0.9180766847172527
